vehicle_id,vehicle_type,start_time,end_time_1,distance_1,travel_time_1,speed_1,end_time_2,distance_2,travel_time_2,speed_2,end_time_3,distance_3,travel_time_3,speed_3,end_time_4,distance_4,travel_time_4,speed_4,end_time_5,distance_5,travel_time_5,speed_5
宁A8F152_0,1,2021/6/13 11:12,2021/6/13 11:14,3210.45,0.026111,122.954,2021/6/13 11:19,8856.04,0.083056,106.627,2021/6/13 11:21,3317.81,0.028056,118.257,2021/6/13 11:26,10380.7,0.089167,116.419,2021/6/13 11:37,22193.94,0.179722,123.49
宁A5EM18_0,1,2021/6/13 11:17,2021/6/13 11:18,3210.45,0.026667,120.39,2021/6/13 11:24,8856.04,0.084722,104.531,2021/6/13 11:26,3317.81,0.033056,100.369,2021/6/13 11:31,10380.7,0.098611,105.269,2021/6/13 11:42,22193.94,0.175556,126.421
宁CA2178_1,16,2021/6/13 11:18,2021/6/13 11:20,3210.45,0.044444,72.236,2021/6/13 11:28,8856.04,0.128611,68.859,2021/6/13 11:31,3317.81,0.048056,69.04,2021/6/13 11:40,10380.7,0.145,71.591,2021/6/13 12:22,22193.94,0.711111,31.21
蒙L67798_1,12,2021/6/13 11:18,2021/6/13 11:21,3210.45,0.043056,74.565,2021/6/13 11:28,8856.04,0.120556,73.46,2021/6/13 11:31,3317.81,0.043333,76.565,2021/6/13 11:39,10380.7,0.137222,75.649,2021/6/13 12:18,22193.94,0.647222,34.291
甘DCS019_0,1,2021/6/13 11:19,2021/6/13 11:21,3210.45,0.029444,109.036,2021/6/13 11:26,8856.04,0.087222,101.534,2021/6/13 11:28,3317.81,0.031111,106.644,2021/6/13 11:34,10380.7,0.102222,101.551,2021/6/13 11:46,22193.94,0.194444,114.141
宁A2W107_0,1,2021/6/13 11:20,2021/6/13 11:21,3210.45,0.027222,117.936,2021/6/13 11:27,8856.04,0.09,98.4,2021/6/13 11:29,3317.81,0.031111,106.644,2021/6/13 11:34,10380.7,0.093056,111.553,2021/6/13 11:45,22193.94,0.180556,122.92
宁AR781E_0,1,2021/6/13 11:22,2021/6/13 11:23,3210.45,0.026944,119.153,2021/6/13 11:28,8856.04,0.082222,107.709,2021/6/13 11:30,3317.81,0.031944,103.863,2021/6/13 11:36,10380.7,0.095833,108.321,2021/6/13 11:48,22193.94,0.196944,112.692
宁A5373C_0,1,2021/6/13 11:22,2021/6/13 11:24,3210.45,0.027222,117.936,2021/6/13 11:29,8856.04,0.083333,106.273,2021/6/13 11:31,3317.81,0.034722,95.554,2021/6/13 11:36,10380.7,0.095556,108.635,2021/6/13 11:48,22193.94,0.189444,117.153
蒙AZ2348_1,16,2021/6/13 11:25,2021/6/13 11:28,3210.45,0.040556,79.161,2021/6/13 11:34,8856.04,0.114722,77.196,2021/6/13 11:37,3317.81,0.043056,77.058,2021/6/13 11:45,10380.7,0.131944,78.675,2021/6/13 12:02,22193.94,0.280278,79.185
宁A7EK19_0,1,2021/6/13 11:25,2021/6/13 11:27,3210.45,0.032778,97.945,2021/6/13 11:33,8856.04,0.09,98.4,2021/6/13 11:35,3317.81,0.035278,94.048,2021/6/13 11:41,10380.7,0.1,103.807,2021/6/13 11:53,22193.94,0.207778,106.816
宁A1FN09_0,1,2021/6/13 11:26,2021/6/13 11:27,3210.45,0.028889,111.131,2021/6/13 11:32,8856.04,0.085833,103.178,2021/6/13 11:34,3317.81,0.033611,98.712,2021/6/13 11:40,10380.7,0.090278,114.986,2021/6/13 11:51,22193.94,0.183611,120.875
鲁AN2J63_0,1,2021/6/13 11:27,2021/6/13 11:29,3210.45,0.030278,106.032,2021/6/13 11:34,8856.04,0.089444,99.012,2021/6/13 11:36,3317.81,0.0325,102.086,2021/6/13 11:41,10380.7,0.089167,116.419,2021/6/13 11:53,22193.94,0.1875,118.368
宁A6W695_0,1,2021/6/13 11:30,2021/6/13 11:32,3210.45,0.032778,97.945,2021/6/13 11:38,8856.04,0.103333,85.704,2021/6/13 11:41,3317.81,0.037778,87.824,2021/6/13 11:47,10380.7,0.111111,93.426,2021/6/13 12:11,22193.94,0.393611,56.385
宁A6V671_0,1,2021/6/13 11:32,2021/6/13 11:33,3210.45,0.024722,129.862,2021/6/13 11:38,8856.04,0.071389,124.053,2021/6/13 11:39,3317.81,0.025,132.712,2021/6/13 11:45,10380.7,0.0875,118.637,2021/6/13 11:54,22193.94,0.163889,135.421
宁A9KS96_0,1,2021/6/13 11:33,2021/6/13 11:35,3210.45,0.031944,100.502,2021/6/13 11:40,8856.04,0.088056,100.573,2021/6/13 11:42,3317.81,0.033056,100.369,2021/6/13 11:48,10380.7,0.101667,102.105,2021/6/13 12:01,22193.94,0.206944,107.246
宁AB7990_0,12,2021/6/13 11:38,2021/6/13 11:41,3210.45,0.041389,77.568,2021/6/13 11:47,8856.04,0.113611,77.951,2021/6/13 11:50,3317.81,0.042778,77.559,2021/6/13 11:58,10380.7,0.126111,82.314,2021/6/13 12:13,22193.94,0.258611,85.82
宁A0606H_0,1,2021/6/13 11:39,2021/6/13 11:40,3210.45,0.0275,116.744,2021/6/13 11:45,8856.04,0.081389,108.811,2021/6/13 11:47,3317.81,0.031111,106.644,2021/6/13 11:53,10380.7,0.091111,113.935,2021/6/13 12:04,22193.94,0.190278,116.64
陕AW2192_1,14,2021/6/13 11:39,2021/6/13 11:41,3210.45,0.039167,81.968,2021/6/13 11:48,8856.04,0.115,77.009,2021/6/13 11:51,3317.81,0.042778,77.559,2021/6/13 11:58,10380.7,0.125556,82.678,2021/6/13 12:47,22193.94,0.816667,27.176
宁CBQ088_0,11,2021/6/13 11:39,2021/6/13 11:42,3210.45,0.041667,77.05,2021/6/13 11:47,8856.04,0.091667,96.611,2021/6/13 11:49,3317.81,0.031667,104.772,2021/6/13 11:55,10380.7,0.095556,108.635,2021/6/13 12:06,22193.94,0.192778,115.127
苏HU383X_0,1,2021/6/13 11:42,2021/6/13 11:44,3210.45,0.033889,94.734,2021/6/13 11:49,8856.04,0.094722,93.495,2021/6/13 11:51,3317.81,0.032778,101.221,2021/6/13 11:58,10380.7,0.109167,95.09,2021/6/13 12:11,22193.94,0.228056,97.318
宁AN651T_0,1,2021/6/13 11:43,2021/6/13 11:45,3210.45,0.031944,100.502,2021/6/13 11:50,8856.04,0.082222,107.709,2021/6/13 11:52,3317.81,0.033889,97.902,2021/6/13 11:58,10380.7,0.108889,95.333,2021/6/13 12:11,22193.94,0.220556,100.627
宁ANX000_0,1,2021/6/13 11:45,2021/6/13 11:47,3210.45,0.03,107.015,2021/6/13 11:52,8856.04,0.083056,106.627,2021/6/13 11:54,3317.81,0.028889,114.847,2021/6/13 11:59,10380.7,0.092778,111.888,2021/6/13 12:18,22193.94,0.312778,70.957
宁ANH361_0,1,2021/6/13 11:47,2021/6/13 11:49,3210.45,0.027778,115.575,2021/6/13 11:54,8856.04,0.086944,101.859,2021/6/13 11:56,3317.81,0.031111,106.644,2021/6/13 12:02,10380.7,0.094167,110.237,2021/6/13 12:14,22193.94,0.2,110.97
宁EW2955_0,1,2021/6/13 11:47,2021/6/13 11:49,3210.45,0.027778,115.575,2021/6/13 11:54,8856.04,0.086389,102.514,2021/6/13 11:56,3317.81,0.031944,103.863,2021/6/13 12:02,10380.7,0.090278,114.986,2021/6/13 12:12,22193.94,0.165278,134.282
甘AB4T31_0,1,2021/6/13 11:48,2021/6/13 11:49,3210.45,0.03,107.015,2021/6/13 11:55,8856.04,0.086667,102.185,2021/6/13 11:57,3317.81,0.034167,97.106,2021/6/13 12:03,10380.7,0.103333,100.459,2021/6/13 12:15,22193.94,0.201944,109.901
宁AG5997_1,16,2021/6/13 11:49,2021/6/13 11:52,3210.45,0.041667,77.05,2021/6/13 11:59,8856.04,0.117778,75.193,2021/6/13 12:01,3317.81,0.041667,79.627,2021/6/13 12:09,10380.7,0.131111,79.175,2021/6/13 12:26,22193.94,0.275833,80.462
宁AR828A_0,11,2021/6/13 11:53,2021/6/13 11:55,3210.45,0.040833,78.624,2021/6/13 12:02,8856.04,0.117222,75.549,2021/6/13 12:05,3317.81,0.043056,77.058,2021/6/13 12:13,10380.7,0.133333,77.855,2021/6/13 12:31,22193.94,0.296389,74.881
宁CW8057_0,1,2021/6/13 11:56,2021/6/13 11:57,3210.45,0.030833,104.124,2021/6/13 12:03,8856.04,0.088611,99.943,2021/6/13 12:05,3317.81,0.0325,102.086,2021/6/13 12:11,10380.7,0.100556,103.233,2021/6/13 12:22,22193.94,0.194167,114.303
宁AA203F_0,1,2021/6/13 11:56,2021/6/13 11:58,3210.45,0.033056,97.122,2021/6/13 12:04,8856.04,0.095833,92.411,2021/6/13 12:06,3317.81,0.032778,101.221,2021/6/13 12:12,10380.7,0.100556,103.233,2021/6/13 12:24,22193.94,0.200556,110.662
宁AQT111_0,1,2021/6/13 12:00,2021/6/13 12:02,3210.45,0.024167,132.844,2021/6/13 12:07,8856.04,0.08,110.701,2021/6/13 12:09,3317.81,0.0325,102.086,2021/6/13 12:14,10380.7,0.093889,110.564,2021/6/13 12:26,22193.94,0.194722,113.978
宁A0X033_0,1,2021/6/13 12:03,2021/6/13 12:05,3210.45,0.027778,115.575,2021/6/13 12:10,8856.04,0.08,110.701,2021/6/13 12:12,3317.81,0.036389,91.176,2021/6/13 12:18,10380.7,0.095556,108.635,2021/6/13 12:30,22193.94,0.205,108.263
宁A75W12_0,1,2021/6/13 12:04,2021/6/13 12:05,3210.45,0.028056,114.43,2021/6/13 12:10,8856.04,0.080833,109.56,2021/6/13 12:12,3317.81,0.029167,113.752,2021/6/13 12:17,10380.7,0.092222,112.562,2021/6/13 12:29,22193.94,0.186389,119.073
宁A0Q396_0,1,2021/6/13 12:06,2021/6/13 12:08,3210.45,0.026667,120.39,2021/6/13 12:13,8856.04,0.084722,104.531,2021/6/13 12:14,3317.81,0.0275,120.648,2021/6/13 12:20,10380.7,0.092222,112.562,2021/6/13 12:31,22193.94,0.194444,114.141
宁CGG101_0,1,2021/6/13 12:10,2021/6/13 12:12,3210.45,0.030556,105.068,2021/6/13 12:17,8856.04,0.087778,100.891,2021/6/13 12:19,3317.81,0.033056,100.369,2021/6/13 12:25,10380.7,0.096667,107.386,2021/6/13 12:36,22193.94,0.189722,116.981
宁AUM379_0,11,2021/6/13 12:14,2021/6/13 12:16,3210.45,0.039167,81.968,2021/6/13 12:23,8856.04,0.114444,77.383,2021/6/13 12:25,3317.81,0.038056,87.182,2021/6/13 12:33,10380.7,0.118889,87.314,2021/6/13 12:48,22193.94,0.249722,88.875
宁AA7316_1,12,2021/6/13 12:17,2021/6/13 12:19,3210.45,0.038333,83.752,2021/6/13 12:26,8856.04,0.106111,83.46,2021/6/13 12:28,3317.81,0.038333,86.552,2021/6/13 12:35,10380.7,0.1225,84.74,2021/6/13 12:52,22193.94,0.283333,78.332
浙D968ND_0,1,2021/6/13 12:18,2021/6/13 12:20,3210.45,0.026389,121.659,2021/6/13 12:24,8856.04,0.073333,120.765,2021/6/13 12:26,3317.81,0.027778,119.44,2021/6/13 12:31,10380.7,0.086111,120.55,2021/6/13 12:41,22193.94,0.155833,142.421
宁E60145_0,1,2021/6/13 12:20,2021/6/13 12:22,3210.45,0.030278,106.032,2021/6/13 12:27,8856.04,0.085,104.189,2021/6/13 12:30,3317.81,0.036944,89.806,2021/6/13 12:35,10380.7,0.088889,116.783,2021/6/13 12:54,22193.94,0.323333,68.641
宁AWK722_0,1,2021/6/13 12:21,2021/6/13 12:23,3210.45,0.028889,111.131,2021/6/13 12:28,8856.04,0.084722,104.531,2021/6/13 12:30,3317.81,0.030556,108.581,2021/6/13 12:36,10380.7,0.098056,105.865,2021/6/13 12:48,22193.94,0.195,113.815
宁A0W239_0,1,2021/6/13 12:23,2021/6/13 12:24,3210.45,0.03,107.015,2021/6/13 12:30,8856.04,0.085,104.189,2021/6/13 12:32,3317.81,0.036944,89.806,2021/6/13 12:38,10380.7,0.098056,105.865,2021/6/13 12:51,22193.94,0.215833,102.829
浙A15A32_1,12,2021/6/13 12:28,2021/6/13 12:31,3210.45,0.04,80.261,2021/6/13 12:38,8856.04,0.114444,77.383,2021/6/13 12:40,3317.81,0.0425,78.066,2021/6/13 12:48,10380.7,0.133611,77.693,2021/6/13 13:06,22193.94,0.290556,76.384
宁AJ619Y_0,1,2021/6/13 12:32,2021/6/13 12:34,3210.45,0.031667,101.382,2021/6/13 12:39,8856.04,0.090278,98.097,2021/6/13 12:41,3317.81,0.033611,98.712,2021/6/13 12:47,10380.7,0.105,98.864,2021/6/13 13:01,22193.94,0.228056,97.318
宁A1800C_0,1,2021/6/13 12:32,2021/6/13 12:34,3210.45,0.028889,111.131,2021/6/13 12:38,8856.04,0.076111,116.357,2021/6/13 12:40,3317.81,0.030278,109.578,2021/6/13 12:45,10380.7,0.084167,123.335,2021/6/13 12:55,22193.94,0.159722,138.954
宁AY381G_0,1,2021/6/13 12:34,2021/6/13 12:36,3210.45,0.027778,115.575,2021/6/13 12:40,8856.04,0.080833,109.56,2021/6/13 12:42,3317.81,0.0325,102.086,2021/6/13 12:48,10380.7,0.089444,116.058,2021/6/13 12:59,22193.94,0.184167,120.51
宁AU990F_0,1,2021/6/13 12:37,2021/6/13 12:38,3210.45,0.027222,117.936,2021/6/13 12:44,8856.04,0.088611,99.943,2021/6/13 12:46,3317.81,0.032222,102.967,2021/6/13 12:51,10380.7,0.0875,118.637,2021/6/13 13:01,22193.94,0.175278,126.621
宁CHJ338_0,1,2021/6/13 12:37,2021/6/13 12:39,3210.45,0.034167,93.963,2021/6/13 12:45,8856.04,0.096667,91.614,2021/6/13 12:47,3317.81,0.0375,88.475,2021/6/13 12:54,10380.7,0.105278,98.603,2021/6/13 13:07,22193.94,0.219722,101.009
