u,v,key,osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,bridge,name,width,access,junction,tunnel,service,area,fid
25632432,25632433,0,14328446,1,secondary,False,94.25200000000001,,,,,Rua de Fernandes Tomás,,,,,,,109
25632433,25632412,0,14328446,1,secondary,False,81.548,,,,,Rua de Fernandes Tomás,,,,,,,110
25632438,25632432,0,1016548265,1,secondary,False,15.265,,,,,Rua de Fernandes Tomás,,,,,,,111
25632446,25632447,0,252526954,0,secondary,True,131.757,3,,,,Rua de Santa Catarina,,,,,,,112
25632446,1887601134,0,38336634,1,secondary,False,64.721,2,,,,Rua de Gonçalo Cristóvão,,,,,,,113
25632447,25632446,0,252526954,0,secondary,False,131.757,3,,,,Rua de Santa Catarina,,,,,,,114
25632447,501225889,0,34597437,0,secondary,True,203.676,,,,,Rua de Santa Catarina,,,,,,,115
25632449,25632447,0,8367154,1,secondary,False,143.75099999999998,2,,,,Rua da Escola Normal,4,,,,,,116
25632449,25632425,0,1017147076,1,tertiary,False,151.744,,,,,Rua da Alegria,4,,,,,,117
25632450,25632454,0,8367153,1,residential,False,184.452,,,,,Rua das Carvalheiras,4,,,,,,118
25632450,25632447,0,35111843,1,living_street,False,78.699,,,,,Travessa da Fontinha,4,,,,,,119
25632454,4685392590,0,304688481,1,residential,False,15.096,,,,,,,,,,,,120
25632454,129550851,0,738996910,1,secondary,False,143.055,2,,,,Rua de Gonçalo Cristóvão,,,,,,,121
25632463,4077112088,0,8367118,1,secondary,False,45.8,2,,,,Rua da Alegria,4,,,,,,122
25632463,138197779,0,453762039,0,secondary,False,187.034,2,,,,Rua da Alegria,,,,,,,123
25632466,2053571406,0,167487390,1,tertiary,False,207.42899999999997,,,,,Rua Cardeal Dom Américo,,,,,,,124
25632466,2053571360,0,350915450,1,tertiary,False,179.81799999999998,2,,,,Rua de Santos Pousada,,,,,,,125
25632521,25632466,0,899748480,1,tertiary,False,138.733,,,,,Rua de Santos Pousada,,,,,,,126
26015872,25507552,0,"[480146192, 480148052, 480146191]",1,motorway,False,235.167,4,IC 23;A 20,80,yes,Via de Cintura Interna,,,,,,,127
26015879,26122713,0,4259343,1,motorway_link,False,217.64100000000002,2,,60,,Autoestrada de Entre-Douro-e-Minho,,,,,,,128
26015879,26015889,0,478882418,1,motorway,False,284.471,2,IC 23;A 20,80,,Via de Cintura Interna,,,,,,,129
26015889,3092764704,0,"[478882413, 478882414, 478882415, 478882416, 478882417]",1,motorway,False,319.88199999999995,4,IC 23,80,,Via de Cintura Interna,,,,,,,130
26015892,26122713,0,"[29036513, 345566834, 4259341, 367461726]",1,motorway_link,False,455.93100000000004,2,,"['50', '40']",viaduct,Autoestrada de Entre-Douro-e-Minho,,,,,,,131
26015892,3092764693,0,345566829,1,motorway,False,151.715,3,IC 23,80,,Via de Cintura Interna,,,,,,,132
26015928,128577519,0,"[479365564, 13797813, 453274470]",1,motorway,False,738.943,3,"['IC 23', 'IC 23;A 20']",80,yes,Via de Cintura Interna,,,,,,,133
26015928,411831032,0,480083544,1,motorway_link,False,147.56400000000002,,,,,,,,,,,,134
26015929,26016417,0,"[479187303, 398030856, 479127849, 479127848, 479192145, 35047581, 35047582]",1,motorway,False,1397.839,"['4', '3']",IC 23;A 20,80,yes,Via de Cintura Interna,,,,,,,135
26016417,26016750,0,"[398030857, 479127847]",1,motorway,False,211.25900000000001,3,IC 23;A 20,80,,Via de Cintura Interna,,,,,,,136
26016417,25503951,0,"[479183661, 398030863]",1,motorway_link,False,175.207,2,IC 1,60,,,,,,,,,137
26016418,1110673549,0,"[479187304, 479187305, 398030858, 105482346, 430528809, 479127828]",1,motorway,False,1104.387,"['4', '3']",IC 23;A 20,80,,Via de Cintura Interna,,,,,,,138
26016419,4468021928,0,4256485,1,motorway_link,False,232.04000000000002,,,,,,,,,,,,139
26016419,26016423,0,105482347,1,motorway,False,154.523,3,IC 23,80,,Via de Cintura Interna,,,,,,,140
26016423,126580884,0,"[106441012, 479127845, 479127846]",1,motorway,False,368.62,"['4', '5']",IC 23,80,,Via de Cintura Interna,,,,,,,141
26016441,111464592,0,"[597084096, 13703046, 479165071, 63202741, 453955770, 13703039]",1,motorway,False,524.895,"['4', '3']",IC 23,80,"['viaduct', 'yes']",Via de Cintura Interna,,,,,,,142
