osmid,y,x,street_cou,highway,ref
1912247265,30.6065563,104.0780454,4,,
1912247270,30.6028875,104.0670867,3,,
1912247273,30.594531,104.0672733,3,,
1912247274,30.6155845,104.0989692,3,,
1912247281,30.6096784,104.0808444,3,,
1912247284,30.5980069,104.0632296,3,,
1916386425,30.64321,104.0086764,4,,
1916386426,30.606558,104.0717557,3,,
1916386430,30.6040025,104.0737423,4,,
1916386436,30.6543779,104.0157801,4,,
1916386446,30.6315075,104.0156605,4,,
1916386448,30.6298934,104.0171608,4,,
1916386454,30.6473704,104.0068457,4,,
1916386460,30.613218,104.0420718,4,,
1916386467,30.6162257,104.0416001,3,,
1916386486,30.6474823,104.0160531,4,,
1916386489,30.6239985,104.0308059,4,,
1916386490,30.6359449,104.0685351,3,,
1916386495,30.6368784,104.0583902,3,,
1916386502,30.6207018,104.0286389,4,,
1916386504,30.6228031,104.0232974,4,,
1916386505,30.625776,104.0207728,4,,
1916386506,30.6333933,104.0182052,4,,
1916386509,30.6220402,104.0295141,4,,
1916386511,30.62106,104.0265138,4,,
1916386515,30.6358876,104.0611187,3,,
1916386518,30.647401,104.0608072,3,,
1916386526,30.6199829,104.0438585,3,,
1916386527,30.6418483,104.0584766,3,,
1916386528,30.6386243,104.0595409,3,,
1916386531,30.654275,104.0157713,4,,
1916386533,30.6449483,104.0161439,5,,
1916386541,30.6444096,104.0142926,3,,
1916386551,30.6244798,104.0243804,4,,
1916386553,30.6395429,104.0574268,4,,
1916386555,30.6405831,104.0551372,3,,
1916386558,30.6438226,104.0121942,4,,
1916386562,30.6438068,104.0595156,3,,
1916386564,30.6299124,104.0133239,4,,
1916386566,30.6265294,104.0220629,3,,
1916386578,30.6065817,104.0737593,3,,
1916386580,30.6418601,104.0559219,3,,
1916386581,30.6325464,104.0197256,3,,
1916401108,30.6120356,104.0301922,4,,
1916401139,30.6070235,104.0670578,3,,
1916401152,30.6044067,104.0696767,4,,
1916401205,30.6032906,104.0468382,3,,
1916401229,30.6057427,104.0685258,4,,
1916401237,30.6112591,104.0330967,4,,
1916401268,30.6057374,104.0696866,4,,
1916401292,30.6078368,104.0670566,3,,
1916401360,30.6056639,104.055387,4,,
1916401375,30.6119248,104.0250889,1,,
1916401388,30.6062653,104.0405144,3,,
1916401409,30.6070355,104.0396828,3,,
1916401432,30.6035073,104.0468808,4,,
1916401448,30.604262,104.0420453,3,,
1916401457,30.6077988,104.0696824,3,,
1916516776,30.6164089,104.0158989,3,,
1916516798,30.6552592,103.9818148,3,,
1916517839,30.6586377,103.9877882,4,,
1916517843,30.6639884,103.990509,4,,
1916517845,30.6613168,103.9891541,4,,
1916520514,30.627734,104.0081273,4,,
1916520521,30.6301396,104.0051916,4,,
1916520523,30.6318427,104.0031287,4,,
1916520527,30.6265993,104.0067654,4,,
1916520528,30.6329276,104.0021641,4,,
1916524684,30.6025153,103.9815604,4,,
1916524693,30.6196035,104.0114189,4,,
1916524711,30.6014975,103.9866894,3,,
1916524712,30.6138668,103.9826715,4,,
1916524716,30.6125343,103.9797477,4,,
1916524737,30.6036936,103.9788244,4,,
1916524744,30.6012777,103.998923,4,,
1916524774,30.6136493,104.0056826,4,,
1916524779,30.6158956,103.9865695,4,,
1916524790,30.6036452,103.9789371,4,,
1916524791,30.6105949,103.9755161,3,,
1916524800,30.6150207,103.9851882,4,,
1916524814,30.6167672,103.9878617,4,,
1916530789,30.6304497,103.9813786,4,,
1916530790,30.6056808,103.9799984,4,,
1916530800,30.6352062,103.9798609,4,,
1916530808,30.6042706,103.9860453,4,,
1916530811,30.6625158,103.9750482,3,,
1916530820,30.6476975,103.9759592,4,,
